Field Description,Field Name,Field Type,Attributes,Field Values,Field Range Min,Field Range Max
Household with Male Adult 65-74 Years old,hh_adults_male_65_74,BOOL,1,TRUE,,
Household with Male Adult 75+ Years old,hh_adults_male_75_plus,BOOL,1,TRUE,,
Household with Female Adult 8-24 Years old,hh_adults_female_18_24,BOOL,1,TRUE,,
Household with Female Adult 25-34 Years old,hh_adults_female_25_34,BOOL,1,TRUE,,
Household with Female Adult 35-44 Years old,hh_adults_female_35_44,BOOL,1,TRUE,,
Household with Female Adult 45-54 Years old,hh_adults_female_45_54,BOOL,1,TRUE,,
Household with Female Adult 55-64 Years old,hh_adults_female_55_64,BOOL,1,TRUE,,
Household with Female Adult 65-74 Years old,hh_adults_female_65_74,BOOL,1,TRUE,,
Household with Female Adult 75+ Years old,hh_adults_female_75_plus,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 18-24 Years old,hh_adults_unknown_18_24,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 25-34 Years old,hh_adults_unknown_25_34,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 35-44 Years old,hh_adults_unknown_35_44,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 45-54 Years old,hh_adults_unknown_45_54,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 55-64 Years old,hh_adults_unknown_55_64,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 65-74 Years old,hh_adults_unknown_65_74,BOOL,1,TRUE,,
Household with Adult with Undpecified Gender 75+ Years old,hh_adults_unknown_75_plus,BOOL,1,TRUE,,
Household with Male Kid 0-2 Years old,hh_kids_male_0_2,BOOL,1,TRUE,,
Household with Male Kid 3-5 Years old,hh_kids_male_3_5,BOOL,1,TRUE,,
Household with Male Kid 6-10Years old,hh_kids_male_6_10,BOOL,1,TRUE,,
Household with Male Kid 11-15 Years old,hh_kids_male_11_15,BOOL,1,TRUE,,
Household with Male Kid 16-17 Years old,hh_kids_male_16_17,BOOL,1,TRUE,,
Household with Female Kid 0-2 Years old,hh_kids_female_0_2,BOOL,1,TRUE,,
Household with Female Kid 3-5 Years old,hh_kids_female_3_5,BOOL,1,TRUE,,
Household with Female Kid 6-10 Years old,hh_kids_female_6_10,BOOL,1,TRUE,,
Household with Female Kid 11-15 Years old,hh_kids_female_11_15,BOOL,1,TRUE,,
Household with Female Kid 16-17 Years old,hh_kids_female_16_17,BOOL,1,TRUE,,
Household with Kid with Undpecified Gender 0-2 Years old,hh_kids_unknown_0_2,BOOL,1,TRUE,,
Household with Kid with Undpecified Gender 3-5 Years old,hh_kids_unknown_3_5,BOOL,1,TRUE,,
Household with Kid with Undpecified Gender 6-10 Years old,hh_kids_unknown_6_10,BOOL,1,TRUE,,
Household with Kid with Undpecified Gender 11-15 Years old,hh_kids_unknown_11_15,BOOL,1,TRUE,,
Household with Kid with Undpecified Gender 16-17 Years old,hh_kids_unknown_16_17,BOOL,1,TRUE,,
Number of Adults in Household,hh_num_adults,INT,15,#,1,15
Number of Kids in Household,hh_num_kids,INT,11,#,0,10
Home Ownership,home_ownership,ALPHA,2,"h,r",,
Length of Residence,length_of_residence,INT,16,#,0,15
Dwelling Type,dwelling_type,ALPHA,10,"a,b,c,m,n,p,s,t,w,x",,
Property A/C Type,property_ac_type,ALPHA,12,"a,b,c,d,e,f,g,h,i,j,k,l",,
Property Fuel Type,property_fuel_type,ALPHA,4,"e,g,o,p",,
Property Water Type,property_water_type,INT,4,"1,2,3,4",,
Property Sewer Type,property_sewer_type,INT,4,"1,2,3,4",,
Property Has Pool,property_has_pool,BOOL,1,TRUE,,
Property Built Year,property_built_year,INT,,#,1700,2025
Consumer with Credit Card,credit_card_user,BOOL,1,TRUE,,
Consumer with Premium Credit Card,credit_card_premium,BOOL,1,TRUE,,
Consumer with New Credit Card,credit_card_new_issue,BOOL,1,TRUE,,
Consumer with Amex Premium Credit Card,credit_card_amex_premium,BOOL,1,TRUE,,
Consumer with Amex Regular Credit Card,credit_card_amex_regular,BOOL,1,TRUE,,
Consumer with Discover Premium Credit Card,credit_card_discover_premium,BOOL,1,TRUE,,
Consumer with Discover Regular Credit Card,credit_card_discover_regular,BOOL,1,TRUE,,
Consumer with Mastercard Premium Credit Card,credit_card_mastercard_premium,BOOL,1,TRUE,,
Consumer with Mastercard Regular Credit Card,credit_card_mastercard_regular,BOOL,1,TRUE,,
Consumer with Visa Premium Credit Card,credit_card_visa_premium,BOOL,1,TRUE,,
Consumer with Visa Regular Credit Card,credit_card_visa_regular,BOOL,1,TRUE,,
Consumer with Gas Premium Credit Card,credit_card_gas_premium,BOOL,1,TRUE,,
Consumer with Gas Regular Credit Card,credit_card_gas_regular,BOOL,1,TRUE,,
Consumer with Travel Credit Card,credit_card_travel,BOOL,1,TRUE,,
Lines of Credit,credit_lines,INT,9,#,1,9
Credit Rating,credit_rating,ALPHA,8,"a,b,c,d,e,f,g,h",,
Loan to Value Ratio,loan_to_value,INT,,#,1,999
Household Income Tier,hh_income_group,ALPHA,19,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s",,
Net Worth Tier,net_worth_group,ALPHA,9,"a,b,c,d,e,f,g,h,i",,
Property Value,home_value,INT,,#,,
Active Investor,invest_active,BOOL,1,TRUE,,
Stocks Investor,invest_stocks,BOOL,1,TRUE,,
Real Estate Investor,invest_real_estate,BOOL,1,TRUE,,
Foreign Investor,invest_foreign,BOOL,1,TRUE,,
Personal Investor,invest_personal,BOOL,1,TRUE,,
Money Seeker Investor,invest_money_seeker,BOOL,1,TRUE,,
Financial News Investor,invest_financial_news,BOOL,1,TRUE,,
Property Investor,investment_property_owned,INT,,#,,
Donor,donor,BOOL,1,TRUE,,
Individual Who Donates to Arts Charities,donor_arts,BOOL,1,TRUE,,
Individual Who Donates to Animal Charities,donor_animal,BOOL,1,TRUE,,
Individual Who Donates to Environmental Charities,donor_environment,BOOL,1,TRUE,,
Individual Who Donates to Kids Charities,donor_kids,BOOL,1,TRUE,,
Individual Who Donates to Health Charities,donor_health,BOOL,1,TRUE,,
Individual Who Donates to Community Causes,donor_community,BOOL,1,TRUE,,
Individual Who Donates to International Aid Charities,donor_international_aid,BOOL,1,TRUE,,
Individual Who Donates to Religious Charities,donor_religious,BOOL,1,TRUE,,
Individual Who Donates to Veterans Charities,donor_veteran,BOOL,1,TRUE,,
Individual Who Donates to Politics,donor_political,BOOL,1,TRUE,,
Individual Who Donates to Conservative Politics,donor_political_conservative,BOOL,1,TRUE,,
Individual Who Donates to Liberal Politics,donor_political_liberal,BOOL,1,TRUE,,
Individual Who Donates via Mail Order,donor_mail_order,BOOL,1,TRUE,,
Individual Who is Interested in Donating,donor_support,BOOL,1,TRUE,,
Individual Who Donates to Charities,donor_charitable,BOOL,1,TRUE,,
Individual Works From a Home Office,occupation_type_home_office,BOOL,1,TRUE,,
Individual Works in the Soho (Small Office/Home Office) Industry,occupation_type_soho,BOOL,1,TRUE,,
Individual is a Working Woman,occupation_type_woman,BOOL,1,TRUE,,
Individual is an African American Professional,occupation_type_african_americans,BOOL,1,TRUE,,
Individual is a Business Owner,occupation_business_owner,ALPHA_NUM,10,"1,2,3,4,5,6,7,8,9,a",,
The individual's Occupation,occupation,ALPHA_NUM,293,"a194,a197,a198,a199,c120,c121,c122,c123,c124,c125,c126,c127,c128,e793,e794,e795,e796,e797,e798,e799,h326,h327,h328,h329,h330,h331,h332,h333,h334,h335,h336,h337,h338,h339,h340,h341,h342,h343,h344,h345,h346,h347,h348,i143,i144,i145,i146,i147,i148,i149,l394,l395,l396,l397,l398,l399,l400,l401,l402,l403,l404,l405,l406,l407,l408,l409,l410,l411,l412,l413,l414,l415,l416,l417,l418,l419,l420,l421,l422,l423,l424,l425,l426,l427,l428,l429,l430,l431,l432,l433,l434,l435,l436,l437,l438,l439,l440,l441,l442,l443,l444,l445,l446,l447,l448,l449,l450,l451,l452,l453,l454,l455,l456,l457,l458,l459,l460,l461,l462,l463,l464,l465,l466,l467,l468,l469,l470,l471,l472,l473,l474,l475,l476,l477,l478,l479,l480,l481,l482,l483,l484,l485,l486,l487,l488,l489,l490,l491,l492,l493,l494,l495,l496,l497,l498,m673,m674,m675,m676,m677,m678,m679,m680,m681,m682,m683,m684,m685,m686,m687,m688,m689,m690,m691,m692,m693,m694,m695,m696,m697,m698,p244,p245,p246,p247,p249,s295,s296,s297,s298,s299,t896,t897,t898,t978,t979,t980,t981,t982,t983,t984,t985,t987,t988,t989,t990,t991,t992,t993,t994,t995,t996,t997,t998,w520,w521,w522,w523,w524,w525,w526,w527,w528,w529,w530,w531,w532,w533,w534,w535,w536,w537,w538,w539,w540,w541,w542,w543,w544,w545,w546,w547,w548,w549,w550,w551,w552,w553,w554,w555,w556,w557,w558,w559,w560,w561,w562,w563,w564,w565,w566,w567,w568,w569,w570,w571,w572,w573,w574,w575,w576,w577,w578,w579,w580,w581,w582,w583,w584,w585,w586,w587,w588,w589,w590,w591,w592,w593,w594,w595,w596,w597,w598",,
Political Party Affiliation of Individual,party_affiliation,ALPHA,13,"a,c,d,e,g,i,l,n,o,p,r,s,u",,
Consumer Who Buys Audio Books,buy_audio_books,BOOL,1,TRUE,,
Consumer Who Buys Audio Magazines,buy_magazines,BOOL,1,TRUE,,
Consumer Who Buys Audio Books,buy_books,BOOL,1,TRUE,,
Consumer Who Buys Religious Products,buy_religious,BOOL,1,TRUE,,
Consumer Who Buys Art,buy_art,BOOL,1,TRUE,,
Consumer Who Buys Antiques,buy_antiques,BOOL,1,TRUE,,
Consumer Who Buys Crafts,buy_crafts,BOOL,1,TRUE,,
Consumer Who Buys Collectibles,buy_collectibles,BOOL,1,TRUE,,
Consumer Who Buys Photo and Video,buy_photo_video,BOOL,1,TRUE,,
Consumer Who Buys Jewelry,buy_jewelry,BOOL,1,TRUE,,
Consumer Who Buys Cosmetics,buy_cosmetics,BOOL,1,TRUE,,
Consumer Who Buys Health Beauty Products,buy_health_beauty,BOOL,1,TRUE,,
Consumer Who Buys Gardening,buy_gardening,BOOL,1,TRUE,,
Consumer Who Buys Home Gardening,buy_home_garden,BOOL,1,TRUE,,
Consumer Who Buys Auto Pats,buy_auto_parts,BOOL,1,TRUE,,
Consumer Who Buys Hunting Products,buy_hunting,BOOL,1,TRUE,,
Consumer Who Buys Sport Leisure,buy_sports,BOOL,1,TRUE,,
Consumer Who Buys Luggage,buy_luggage,BOOL,1,TRUE,,
Consumer Who Buys Pets Supplies,buy_pets,BOOL,1,TRUE,,
Consumer Who Buys Kids Product,buy_kids,BOOL,1,TRUE,,
Consumer Who Buys Kids General Products,buy_kids_general,BOOL,1,TRUE,,
Consumer Who Buys Baby Care,buy_kids_baby_care,BOOL,1,TRUE,,
Consumer Who Buys Kids Learning Toys,buy_kids_learn_toys,BOOL,1,TRUE,,
Consumer Who Buys Kids School Supplies,buy_kids_school,BOOL,1,TRUE,,
Consumer Who Buys Kids Apparel,buy_kids_apparel,BOOL,1,TRUE,,
Consumer Who Buys Infant Product,buy_kids_infant,BOOL,1,TRUE,,
Consumer Who Buys Apparel,buy_apparel,BOOL,1,TRUE,,
Consumer Who Buys Sports Apparel,buy_apparel_sports,BOOL,1,TRUE,,
Consumer Who Buys Kids Apparel,buy_apparel_kids,BOOL,1,TRUE,,
Consumer Who Buys Infant Apparel,buy_apparel_infant,BOOL,1,TRUE,,
Consumer Who Buys Mens Apparel,buy_apparel_mens,BOOL,1,TRUE,,
Consumer Who Buys Oversized Men's Apparel,buy_apparel_mens_big,BOOL,1,TRUE,,
Consumer Who Buys Young Mens Apparel,buy_apparel_mens_young,BOOL,1,TRUE,,
Consumer Who Buys Women Apparel,buy_apparel_women,BOOL,1,TRUE,,
Consumer Who Buys Oversized Wome Apparel,buy_apparel_women_plus,BOOL,1,TRUE,,
Consumer Who Buys Petite Women Apparel,buy_apparel_women_petite,BOOL,1,TRUE,,
Consumer Who Buys Young Women Apparel,buy_apparel_women_young,BOOL,1,TRUE,,
Consumer Who Buys Products Online,buy_behavior_online_buyer,BOOL,1,TRUE,,
Consumer Who Buys Products via Mail,buy_behavior_mail_order_buyer,BOOL,1,TRUE,,
Consumer Who Respond to a Piece of Collateral via Mail,buy_behavior_mail_order_responder,BOOL,1,TRUE,,
Consumer Who Buys Members Clubs,buy_behavior_membership_clubs,BOOL,1,TRUE,,
Consumer Interested in Collecting Items,interest_collector,BOOL,1,TRUE,,
Consumer Who is Avid Collector,interest_collector_avid,BOOL,1,TRUE,,
Consumer Who is interested in Antiques,interest_collector_antiques,BOOL,1,TRUE,,
Consumer Who is Interested in Collecting Arts,interest_collector_arts,BOOL,1,TRUE,,
Consumer Who is Interested in Collecting Coins,interest_collector_coins,BOOL,1,TRUE,,
Consumer Who is Interested in Sports,interest_collector_sports,BOOL,1,TRUE,,
Consumer Who is Interested in Collecting Stamps,interest_collector_stamps,BOOL,1,TRUE,,
Consumer Who is Interested in Music Collectors,interest_collector_music,BOOL,1,TRUE,,
Consumer Who is Interested in Movie Collections,interest_collector_movies,BOOL,1,TRUE,,
Consumer Who is Interested in Technology,interest_tech,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Technology,interest_tech_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Consumer Electronics,interest_tech_consumer_electronics,BOOL,1,TRUE,,
Consumer Who is Interested in Telecommunication,interest_tech_telecom,BOOL,1,TRUE,,
Consumer Who is Interested in Appliances,interest_tech_appliances,BOOL,1,TRUE,,
Consumer Who is Interested in Cable TV,interest_tech_cable_tv,BOOL,1,TRUE,,
Consumer Who is Interested in Satellite Dish,interest_tech_dish,BOOL,1,TRUE,,
Consumer Who is Interested in Stereo,interest_tech_stereo,BOOL,1,TRUE,,
Consumer Who is Interested in Music Player,interest_tech_music_player,BOOL,1,TRUE,,
Consumer Who is Interested in Reading,interest_reading,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Reading,interest_reading_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Magazines,interest_reading_magazines,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Current Affairs,interest_reading_current_affairs,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Military History,interest_reading_history_military,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Science Space,interest_reading_science_space,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Scifi,interest_reading_scifi,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Audio Books,interest_reading_audio_books,BOOL,1,TRUE,,
Consumer Who is Interested in Reading Financial News,interest_reading_financial_news,BOOL,1,TRUE,,
Consumer Who is Interested in Watching General,interest_watching,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Watching,interest_watching_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Watching TV and Movie,interest_watching_tv_movie,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Online Education,interest_watching_online_education,BOOL,1,TRUE,,
Consumer Who is Interested in Watching DVD and Videos,interest_watching_dvd_videos,BOOL,1,TRUE,,
Consumer Who is Interested in Music,interest_music,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Music,interest_music_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Music Instrument,interest_music_instrument,BOOL,1,TRUE,,
Consumer Who is Interested in Gaming,interest_gaming,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Gaming,interest_gaming_avid,BOOL,1,TRUE,,
Consumer Who is Interested in PC Gaming,interest_gaming_pc,BOOL,1,TRUE,,
Consumer Who is Interested in VideoGaming,interest_gaming_video,BOOL,1,TRUE,,
Consumer Who is Interested in Cooking,interest_cooking,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Cooking,interest_cooking_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Cooking Natural Food,interest_cooking_natural,BOOL,1,TRUE,,
Consumer Who is Interested in Cooking and Wine,interest_cooking_wine,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness,interest_fitness,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Fitness,interest_fitness_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Self Improvement,interest_fitness_self_improvement,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Health Medicine,interest_fitness_health_medicine,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Jogging,interest_fitness_jogging,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Walking,interest_fitness_walking,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Aerobics,interest_fitness_aerobics,BOOL,1,TRUE,,
Consumer Who is Interested in Fitness Diet,interest_fitness_diet,BOOL,1,TRUE,,
Consumer Who is Interested in Sports,interest_sports,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Sports,interest_sports_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Camping,interest_sports_camping,BOOL,1,TRUE,,
Consumer Who is Interested in Boating,interest_sports_boating,BOOL,1,TRUE,,
Consumer Who is Interested in Fishing,interest_sports_fishing,BOOL,1,TRUE,,
Consumer Who is Interested in Scuba,interest_sports_scuba,BOOL,1,TRUE,,
Consumer Who is Interested in Tennis,interest_sports_tennis,BOOL,1,TRUE,,
Consumer Who is Interested in Snowboarding and Skiing,interest_sports_snow_ski,BOOL,1,TRUE,,
Consumer Who is Interested in Golf,interest_sports_golf,BOOL,1,TRUE,,
Consumer Who is Interested in Motorcycle,interest_sports_motorcycle,BOOL,1,TRUE,,
Consumer Who is Interested in NASCAR,interest_sports_nascar,BOOL,1,TRUE,,
Consumer Who is Interested in Shooting,interest_sports_shooting,BOOL,1,TRUE,,
Consumer Who is Interested in Watching,interest_sports_spectator,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Watching,interest_sports_spectator_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Auto Sports,interest_sports_spectator_auto,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Baseball,interest_sports_spectator_baseball,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Basketball,interest_sports_spectator_basketball,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Football,interest_sports_spectator_football,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Hockey,interest_sports_spectator_hockey,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Soccer,interest_sports_spectator_soccer,BOOL,1,TRUE,,
Consumer Who is Interested in Watching Sports on TV,interest_sports_spectator_tv,BOOL,1,TRUE,,
Consumer Who is Interested in Travel,interest_travel,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Travel,interest_travel_avid,BOOL,1,TRUE,,
Consumer Who is Interested in International Travel,interest_travel_international,BOOL,1,TRUE,,
Consumer Who is Interested in Domestic Travel,interest_travel_domestic,BOOL,1,TRUE,,
Consumer Who is Interested in Travel to casions,interest_travel_casino,BOOL,1,TRUE,,
Consumer Who is Interested in Cruise Travel,interest_travel_cruise,BOOL,1,TRUE,,
Consumer Who is Interested in Pet,interest_pets,BOOL,1,TRUE,,
Consumer Who is Avidly Interested in Pet,interest_pets_avid,BOOL,1,TRUE,,
Consumer Who is Interested in Cats,interest_pets_cats,BOOL,1,TRUE,,
Consumer Who is Interested in Dogs,interest_pets_dogs,BOOL,1,TRUE,,
Consumer Who is Interested in Parenting,interest_family_parenting,BOOL,1,TRUE,,
Consumer Who is Interested in Grandkids,interest_family_grandkids,BOOL,1,TRUE,,
Consumer Who is Interested in kids,interest_family_kids,BOOL,1,TRUE,,
Consumer Who is Interested in Christian Family,interest_family_christian,BOOL,1,TRUE,,
Consumer Who is Interested in Career,interest_family_career,BOOL,1,TRUE,,
Consumer Who is Interested in Career Improvement,interest_family_career_improvement,BOOL,1,TRUE,,
Consumer Who is Interested in Home General,interest_home,BOOL,1,TRUE,,
Consumer Who is Interested in Home Improvement,interest_home_improvement,BOOL,1,TRUE,,
Consumer Who is Interested in Home Decorating,interest_home_decorating,BOOL,1,TRUE,,
Consumer Who is Interested in Plants,interest_home_plants,BOOL,1,TRUE,,
Consumer Who is Interested in DIY (Do-It-Yourself),interest_hobbies_diy,BOOL,1,TRUE,,
Consumer Who is Interested in Crafts,interest_hobbies_crafts,BOOL,1,TRUE,,
Consumer Who is Interested in Home Woodworking,interest_hobbies_woodworking,BOOL,1,TRUE,,
Consumer Who is Interested in Home Photography,interest_hobbies_photography,BOOL,1,TRUE,,
Consumer Who is Interested in Home Sweepstakes,interest_hobbies_sweepstakes,BOOL,1,TRUE,,
Consumer Who is Interested in Games,interest_hobbies_games,BOOL,1,TRUE,,
Consumer Who is Interested in Auto Work,interest_activity_auto_work,BOOL,1,TRUE,,
Consumer Who is Interested in Aviation,interest_activity_aviation,BOOL,1,TRUE,,
Consumer Who is Interested in Investing,interest_activity_investing,BOOL,1,TRUE,,
Consumer Who is Interested in Smoking,interest_activity_smoking,BOOL,1,TRUE,,
Consumer Who is Interested in Outdoor Activities,interest_activity_outdoor,BOOL,1,TRUE,,
Consumer Who is Interested in Theater,interest_activity_theater,BOOL,1,TRUE,,
Individual lives a common Lifestyle,lifestyle_common,BOOL,1,TRUE,,
Individual lives a Upscale Lifestyle,lifestyle_upscale,BOOL,1,TRUE,,
Individual lives a Highbrow Lifestyle,lifestyle_highbrow,BOOL,1,TRUE,,
Individual lives a Broader Lifestyle,lifestyle_broader,BOOL,1,TRUE,,
Individual lives a Professional Lifestyle,lifestyle_professional,BOOL,1,TRUE,,
Individual lives a Cultural Lifestyle,lifestyle_culture,BOOL,1,TRUE,,
Individual lives a Sporty Lifestyle,lifestyle_sporty,BOOL,1,TRUE,,
Individual lives a Homebody Lifestyle,lifestyle_home,BOOL,1,TRUE,,
Individual lives a Do It Yourself Lifestyle,lifestyle_diy,BOOL,1,TRUE,,
